"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,"Gantt chart ModSim",project,2020-06-20,2020-07-18,0,0,100,,,,,
1.1,Trabalho,group,2020-06-20,2020-07-18,0,0,100,,,,,
1.1.1,"Divisão de Tarefas",task,2020-06-20,2020-06-23,0,0,100,,,,,orange1
1.1.2,"Leitura do Enunciado",task,2020-06-24,2020-07-01,0,0,100,,,,,blue2
1.1.3,"Leitura do Artigo",task,2020-06-24,2020-07-04,0,0,100,,,,,red1
1.1.4,"Pesquisa de Referencias",task,2020-07-02,2020-07-11,0,0,100,,,,,yellow1
1.1.5,"Programação dos Módulos no Jupyter",task,2020-07-02,2020-07-12,0,0,100,,1.1.2,,,blue2
1.1.6,"Realização dos Experimentos",task,2020-07-13,2020-07-17,0,0,100,,"1.1.2,1.1.3,1.1.5",,,purple1
1.1.7,"Elaboração do Relatório",task,2020-07-07,2020-07-17,0,0,100,,"1.1.2,1.1.3",,,purple1
1.1.8,Fim,milestone,2020-07-18,2020-07-18,0,0,100,,"1.1.6,1.1.7",,,blue2
