Dias,Numero de infectados,Casos novos nesse dia,Mortes,Imunes(curados),Imunidade de manada,Proporcao de contagio,Proporcao de nao infectados,Valores de R,Param_name,Params
0,1,0,0,0,0.0,1,0.99999,0.0,Clustering,1
1,1,0,0,0,0.0,1,0.99999,0.0,Sick_quarantined,1
2,1,0,0,0,0.0,1,0.99999,0.0,Days_limit,200
3,1,0,0,0,0.0,1,0.99999,0.0,Total_pop,100000
4,1,5,0,0,0.0,1,0.99999,10.0,Starting_infected,1
5,6,3,0,0,0.0,6,0.99994,1.8333333333333333,Death_rate,0.001
6,9,0,0,0,0.0,9,0.99991,1.2222222222222223,Incubation_time,6
7,9,0,0,0,0.0,9,0.99991,1.5555555555555556,Illness_course,27
8,9,4,0,0,0.0,9,0.99991,2.5555555555555554,Infection_chance_upon_meeting,0.2
9,13,6,0,0,0.0,13,0.99987,2.230769230769231,Quarantine_chance,0.2
10,19,5,0,0,0.0,19,0.99981,2.210526315789474,Minimum_incubation_for_infection,4
11,24,16,0,0,0.0,24,0.99976,2.2916666666666665,Seed_clustersize,6
12,40,9,0,0,0.0,40,0.9996,1.6,Max_meetings,30
13,49,9,0,0,0.0,49,0.99951,1.530612244897959,Middle_factor,5
14,58,9,0,0,0.0,58,0.99942,1.6379310344827587,Outer_factor,20
15,67,23,0,0,0.0,67,0.99933,1.9104477611940298,Inner_cluster_chance,0.9
16,89,43,1,0,0.0,90,0.9991,1.988888888888889,Middle_cluster_chance,0.9
17,132,39,1,0,0.0,133,0.99867,1.7218045112781954,Outer_cluster_chance,0.9
18,171,45,1,0,0.0,172,0.99828,1.622093023255814,,
19,216,40,1,0,0.0,217,0.99783,1.5115207373271888,,
20,256,73,1,0,0.0,257,0.99743,1.7237354085603114,,
21,329,104,1,0,0.0,330,0.9967,1.790909090909091,,
22,432,142,2,0,0.0,434,0.99566,1.8617511520737327,,
23,574,184,2,0,0.0,576,0.99424,1.7986111111111112,,
24,758,200,2,0,0.0,760,0.9924,1.7013157894736841,,
25,957,232,3,0,0.0,960,0.9904,1.6739583333333334,,
26,1189,280,3,0,0.0,1192,0.98808,1.7147651006711409,,
27,1467,424,4,1,1.000040001600064e-05,1472,0.98528,1.799592391304348,,
28,1891,582,4,1,1.000040001600064e-05,1896,0.98104,1.7890295358649788,,
29,2470,653,7,1,1.000070004900343e-05,2478,0.97522,1.721953188054883,,
30,3122,810,8,1,1.000080006400512e-05,3131,0.96869,1.6911529862663686,,
31,3927,999,9,5,5.0004500405036456e-05,3941,0.96059,1.6906876427302715,,
32,4922,1304,10,8,8.000800080008001e-05,4940,0.9506,1.731578947368421,,
33,6224,1755,12,8,8.000960115213825e-05,6244,0.93756,1.7490390775144138,,
34,7977,2159,14,8,8.001120156821956e-05,7999,0.92001,1.7329666208276036,,
35,10132,2676,16,10,0.00010001600256040966,10158,0.89842,1.6909824768655246,,
36,12799,2935,19,16,0.00016003040577709766,12834,0.87166,1.6579398472806608,,
37,15727,3856,21,21,0.0002100441092629452,15769,0.84231,1.6654194939438138,,
38,19559,4589,29,37,0.00037010733112602655,19625,0.80375,1.6478980891719746,,
39,24130,5296,38,46,0.0004601748664492507,24214,0.75786,1.6371107623688774,,
40,29407,6173,48,55,0.0005502641267808548,29510,0.7049,1.610809894950864,,
41,35563,6666,57,63,0.0006303593048037382,35683,0.64317,1.5719810554045344,,
42,42201,7073,63,85,0.0008505358375776739,42349,0.57651,1.540461404047321,,
43,49220,7511,74,128,0.0012809479014470708,49422,0.50578,1.513597183440573,,
44,56675,7431,91,167,0.0016715210841866098,56933,0.43067,1.47144889607082,,
45,64045,6844,108,211,0.002112281263764866,64364,0.35636,1.4313280715928158,,
46,70823,6141,136,249,0.0024933910117760152,71208,0.28792,1.3923295135378047,,
47,76843,5292,185,321,0.0032159495065871863,77349,0.22651,1.354988429068249,,
48,82001,4256,220,420,0.004209260372820205,82641,0.17359,1.3185706852530825,,
49,86073,3239,267,557,0.00558491171427712,86897,0.13103,1.2835195691450798,,
50,89063,2334,336,737,0.007394846684861133,90136,0.09864,1.2528845300434899,,
51,91136,1721,398,936,0.009397401658601232,92470,0.0753,1.2288417865253596,,
52,92551,1246,479,1161,0.011665879563107284,94191,0.05809,1.2038623647694577,,
53,93454,835,547,1436,0.014438981227313404,95437,0.04563,1.1729727464191038,,
54,93794,610,626,1852,0.018636665526193974,96272,0.03728,1.1365713810869205,,
55,93757,416,697,2428,0.024450419423380967,96882,0.03118,1.0981812927065915,,
56,93438,312,789,3071,0.030954228865750773,97298,0.02702,1.0562395938251556,,
